"DWS1.  Our household has a functional toilet that all members use regularly.","DWS2.  The drinking water in our village is tested regularly for safety and quality and i receive same.","DWS3.  Our household faces water shortages during some seasons of the year.","DWS4.  We have regular access to clean and safe drinking water in our household via sustainable resources (tap water, well, borewell, tubewell, river, lake and pond).","DWS5.  Access to clean drinking water has improved our daily consumption and well-being","DWS6.  I am satisfied with the waste collection services in my village.","DWS7. Open defecation is still practiced in my household.","DWS8.  Our water supply is frequently disrupted in the village."
5,4,1,5,5,5,1,1
5,4,1,5,5,4,1,1
5,5,2,5,5,1,1,1
5,5,1,4,5,3,3,1
5,5,1,5,4,4,1,1
5,5,1,1,5,5,1,1
5,5,2,5,5,4,1,3
5,5,1,5,5,5,1,1
5,5,1,5,5,4,1,1
5,5,1,5,4,3,1,1
5,5,1,5,5,4,1,1
5,5,1,5,5,5,1,1
5,5,1,1,5,3,3,1
5,5,1,5,5,5,1,1
5,4,1,5,5,1,1,1
5,5,1,5,4,3,1,1
5,4,2,5,4,4,1,3
5,5,2,5,5,5,1,1
5,5,1,5,5,4,1,1
5,5,1,4,5,4,1,1
5,5,5,5,5,2,1,1
5,5,5,5,5,2,1,1
5,5,5,5,5,5,1,1
5,5,5,5,5,5,1,1
5,5,5,5,5,5,1,1
5,5,4,5,5,2,1,1
5,5,5,5,5,2,1,1
5,5,5,5,5,5,1,1
5,5,5,5,5,2,1,1
5,5,5,5,5,5,1,1
5,5,5,5,5,2,1,1
5,5,4,5,5,5,1,1
5,5,5,5,5,2,1,1
5,5,5,5,5,5,1,1
5,5,5,5,5,5,1,1
5,5,5,5,5,5,1,1
5,5,5,5,5,2,1,1
5,5,5,5,5,5,1,1
5,5,5,5,5,5,1,1
5,5,5,5,5,2,1,1
5,5,4,5,5,2,1,1
5,5,5,5,5,2,1,1
5,5,5,5,5,2,1,1
5,5,5,5,5,2,1,1
5,5,5,5,5,5,1,1
5,5,5,5,5,2,1,1
5,5,5,5,5,2,1,1
5,5,5,5,5,2,1,1
5,5,5,5,5,5,1,1
5,5,5,5,5,5,1,1
5,5,2,1,4,5,1,3
5,4,1,4,5,4,3,1
5,5,1,5,5,5,1,1
5,5,1,5,5,5,1,1
5,5,1,5,5,5,1,1
5,5,1,5,5,5,1,1
5,5,1,5,5,5,1,1
5,5,1,5,5,5,1,1
5,5,1,5,5,5,1,1
5,5,1,5,5,5,1,1
5,5,1,5,5,5,1,1
